"Time (s)","Sound pressure level (dB)"
7.464460315E2,5.819993735E1
7.465518993E2,5.820870612E1
7.466539619E2,5.790748230E1
7.467556658E2,5.758912025E1
7.468621620E2,5.461608136E1
7.469686892E2,5.614628512E1
7.470711616E2,5.787995713E1
7.471728516E2,5.850405966E1
7.472793838E2,5.710976312E1
7.473859215E2,5.576831797E1
7.474883956E2,5.540074482E1
7.475900730E2,5.606324099E1
7.476966005E2,5.726939439E1
7.478031620E2,5.690135086E1
7.479055410E2,5.493305162E1
7.480073037E2,5.779324332E1
7.481131821E2,5.696661894E1
7.482198190E2,5.756773677E1
7.483227125E2,5.866312664E1
7.484296034E2,5.979177865E1
7.485360698E2,5.797111572E1
7.486378156E2,5.764873597E1
7.487398111E2,5.557385508E1
7.488414748E2,5.893870252E1
7.489458439E2,6.010708607E1
7.490506354E2,5.606625704E1
7.491550240E2,5.802308301E1
7.492572891E2,5.887926813E1
7.493630326E2,5.935115095E1
7.494652139E2,6.077649770E1
7.495716773E2,5.770975196E1
7.496743340E2,5.598913566E1
7.497796435E2,5.592247138E1
7.498821096E2,5.588815969E1
7.499886346E2,5.709440473E1
7.500915578E2,5.722393644E1
7.501963872E2,5.756129009E1
7.503000078E2,5.807883286E1
7.504065199E2,5.677821966E1
7.505130158E2,5.830454911E1
7.506166236E2,5.845031239E1
7.507231263E2,5.905798154E1
7.508257770E2,5.622052525E1
7.509291936E2,5.708054595E1
7.510330626E2,5.851712835E1
7.511394641E2,5.858096266E1
7.512411337E2,5.920472166E1
7.513463429E2,5.603044505E1
7.514521508E2,5.801039137E1
7.515581662E2,5.903148466E1
7.516629927E2,6.019297544E1
7.517687664E2,6.196002444E1
7.518751994E2,6.305123302E1
7.519796715E2,6.045166357E1
7.520851725E2,6.071790695E1
7.521917890E2,5.997203875E1
7.522963456E2,6.013188837E1
7.524017545E2,6.053930165E1
7.525044070E2,5.875549932E1
7.526095235E2,6.003478877E1
7.527129940E2,5.881590195E1
7.528185045E2,5.913941080E1
7.529250086E2,5.816722086E1
7.530295905E2,5.740538392E1
7.531350216E2,5.779929871E1
7.532392734E2,5.900645925E1
7.533435914E2,5.721631746E1
7.534456014E2,5.881707183E1
7.535505372E2,5.873293970E1
7.536538218E2,5.889956317E1
